customer_id,customer_name,contact_no,email,state,city,postal_code,total_purchases
customer_101,Jason Stone,73722860285,nicolebaker@example.com,New Mexico,South Paul,33069,6603
customer_102,Michael Jackson,74027419500,smithjeremiah@example.com,New Jersey,Bradleyshire,20277,6672
customer_103,Terry Kelly,57264391805,shannonsmith@example.org,Pennsylvania,Fordville,74424,1318
customer_104,Jorge Gonzales,49062068757,sbanks@example.org,Washington,Nelsonside,78250,8277
customer_105,Kaitlin Medina,55498811200,pcruz@example.org,Kentucky,Emmaborough,49672,7374
customer_106,Jessica Hill,77226155309,sergio24@example.com,Kentucky,North Bryan,61763,7411
customer_107,Eugene Newman,51930909824,kathydavidson@example.net,Texas,Port Alexander,29593,2100
customer_108,Anthony Price,78650490396,andersonshelby@example.com,Maine,Lauraview,70542,4493
customer_109,Colleen Richardson,15277635102,deborahaustin@example.org,Texas,Moralesport,78855,212
customer_1010,Lisa Alvarado,81917809377,darlene08@example.org,Nevada,Reevesmouth,82080,6086
customer_1011,Patricia Johnson,48932873427,lisavega@example.net,Montana,Rachelhaven,683,1185
customer_1012,Rebecca Jackson,22996631904,melissa66@example.com,Louisiana,Littlechester,57359,9772
customer_1013,Tricia Shelton,12328214459,abbottkenneth@example.org,Hawaii,West Sabrina,54959,7489
customer_1014,Stephen Manning,69680692502,jacqueline80@example.net,Indiana,New Wesleytown,41150,214
customer_1015,Philip Garza,57510061074,patelryan@example.net,Mississippi,Lake Anthony,96334,8743
customer_1016,Amber Miller,59918616143,bianca09@example.org,Michigan,East Amandaside,15570,9452
customer_1017,Sara Boone,51337999635,mackenzie78@example.com,Missouri,Port Christopherside,18259,5034
customer_1018,Christian Medina,90089065375,conniegoodman@example.com,Virginia,Port Jacobville,40864,5480
customer_1019,Kyle Osborne,60690239866,matthewstone@example.net,Louisiana,New Sharon,97928,1301
customer_1020,Richard Guerra,89538837531,ashleydavis@example.net,Texas,North Johnchester,2015,7593
customer_1021,Samuel Lara IV,67063483135,uolson@example.com,Kansas,Port Christina,90139,7353
customer_1022,Tina Snyder,87670503099,haleywoods@example.com,North Dakota,Whiteland,12576,1563
customer_1023,William Hammond,65328145159,glasssamantha@example.org,Missouri,Davenportland,43278,4279
customer_1024,John Cross,79999929569,jimmy24@example.com,Utah,East Marymouth,81480,1275
customer_1025,Alexandria Lucas,47996638795,norman35@example.org,Missouri,Zunigamouth,4335,502
customer_1026,Samantha Cox,39434162648,rodriguezjessica@example.com,Texas,Crossview,35123,4217
customer_1027,Melissa Gordon,13887347803,ryanstacy@example.org,Indiana,Lake Dominicshire,60600,2052
customer_1028,Johnny Reyes,97286588538,bjones@example.com,Virginia,West Jennifer,1069,1384
customer_1029,Elizabeth Herring,16424434021,andrewsbrenda@example.com,Arizona,New Taylormouth,97827,8443
customer_1030,Adam Moore,10210707496,joshua44@example.org,Oregon,Lopezland,4851,9557
customer_1031,Clayton Smith,31429858440,millertimothy@example.org,New Mexico,New Donaldmouth,57348,5105
customer_1032,James Kelly,47477565043,qlyons@example.net,California,Jasonbury,49534,7664
customer_1033,Heather White,49067396071,taylorkyle@example.org,Mississippi,Doylemouth,37317,8045
customer_1034,Julie Cox,47987141279,ann79@example.net,Missouri,Ianmouth,62832,1246
customer_1035,John Tran,95786001369,zsweeney@example.com,North Carolina,Westhaven,49806,1804
customer_1036,Christopher Jensen,10866112543,johnsonalejandro@example.com,Georgia,Ortizport,31681,7375
customer_1037,John Buck,47974861228,jtaylor@example.com,Maryland,Coopermouth,88736,3150
customer_1038,Nicholas Callahan,39916486404,gadams@example.net,Idaho,North Andrew,76488,8274
customer_1039,Alexandra Wilson,93640671049,vgregory@example.net,Delaware,Hernandezshire,89981,9115
customer_1040,Megan Gardner,37515261622,angela59@example.com,Indiana,Bethanyville,83344,4766
customer_1041,Allison Cross,75985485046,xdiaz@example.net,Hawaii,Davidtown,90060,753
customer_1042,Courtney Young,75358552892,bakerkristopher@example.org,New Hampshire,New Brian,82809,5481
customer_1043,Jennifer Henry,50287864918,eyates@example.net,Florida,New Angela,66155,9062
customer_1044,Brent Le DDS,59219008881,rachel22@example.org,Nebraska,Dillonhaven,53033,2978
customer_1045,Alicia Solis,12925492375,wallaceadam@example.com,Tennessee,Port Christopherchester,53426,9362
